Dt,Nominal Capacity,Actual Tonnes
08 Sep 2015 03:00,4200,3911
08 Sep 2015 04:00,4200,4179
08 Sep 2015 05:00,4200,4157
08 Sep 2015 06:00,4200,4200
08 Sep 2015 07:00,4200,4147
08 Sep 2015 08:00,4200,4181
08 Sep 2015 09:00,4200,4168
08 Sep 2015 10:00,4200,4200
08 Sep 2015 11:00,4200,4154
08 Sep 2015 12:00,4200,4190
08 Sep 2015 13:00,4200,4192
08 Sep 2015 14:00,4200,4200
08 Sep 2015 15:00,4200,3727
08 Sep 2015 16:00,4200,4200
08 Sep 2015 17:00,4200,3930
08 Sep 2015 18:00,4200,3902
08 Sep 2015 19:00,4200,3534
08 Sep 2015 20:00,4200,4134
08 Sep 2015 21:00,4200,4068
08 Sep 2015 22:00,4200,4200
08 Sep 2015 23:00,4200,4174
09 Sep 2015 00:00,4200,4200
09 Sep 2015 01:00,4200,4077
09 Sep 2015 02:00,4200,3955
09 Sep 2015 03:00,4200,3520
09 Sep 2015 04:00,4200,4200
09 Sep 2015 05:00,4200,4200
09 Sep 2015 06:00,4200,4151
09 Sep 2015 07:00,4200,4200
09 Sep 2015 08:00,4200,3652
09 Sep 2015 09:00,4200,4200
09 Sep 2015 10:00,4200,4155
09 Sep 2015 11:00,4200,4035
09 Sep 2015 12:00,4200,4128
09 Sep 2015 13:00,4200,4127
09 Sep 2015 14:00,4200,4022
09 Sep 2015 15:00,4200,4086
09 Sep 2015 16:00,4200,3754
09 Sep 2015 17:00,4200,4200
09 Sep 2015 18:00,4200,4085
09 Sep 2015 19:00,4200,3771
09 Sep 2015 20:00,4200,4200
09 Sep 2015 21:00,4200,3881
09 Sep 2015 22:00,4200,4200
09 Sep 2015 23:00,4200,4182
10 Sep 2015 00:00,4200,3873
10 Sep 2015 01:00,4200,4200
10 Sep 2015 02:00,4200,2990
10 Sep 2015 03:00,4200,4084
10 Sep 2015 04:00,4200,4103
10 Sep 2015 05:00,4200,4200
10 Sep 2015 06:00,4200,4118
10 Sep 2015 07:00,4200,3111
10 Sep 2015 08:00,4200,4147
10 Sep 2015 09:00,4200,4181
10 Sep 2015 10:00,4200,4002
10 Sep 2015 11:00,4200,4159
10 Sep 2015 12:00,4200,4061
10 Sep 2015 13:00,4200,4133
10 Sep 2015 14:00,4200,3929
10 Sep 2015 15:00,4200,4126
10 Sep 2015 16:00,4200,4097
10 Sep 2015 17:00,4200,3959
10 Sep 2015 18:00,4200,4114
10 Sep 2015 19:00,4200,3779
10 Sep 2015 20:00,4200,4104
10 Sep 2015 21:00,4200,4200
10 Sep 2015 22:00,4200,4105
10 Sep 2015 23:00,4200,4200
11 Sep 2015 00:00,4200,4200
11 Sep 2015 01:00,4200,4174
11 Sep 2015 02:00,4200,4081
11 Sep 2015 03:00,4200,4135
11 Sep 2015 04:00,4200,4007
11 Sep 2015 05:00,4200,3976
11 Sep 2015 06:00,4200,4056
11 Sep 2015 07:00,4200,3998
11 Sep 2015 08:00,4200,3758
11 Sep 2015 09:00,4200,4200
11 Sep 2015 10:00,4200,4200
11 Sep 2015 11:00,4200,4200
11 Sep 2015 12:00,4200,4186
11 Sep 2015 13:00,4200,3629
11 Sep 2015 14:00,4200,3834
11 Sep 2015 15:00,4200,4175
11 Sep 2015 16:00,4200,3618
11 Sep 2015 17:00,4200,4200
11 Sep 2015 18:00,4200,4037
11 Sep 2015 19:00,4200,3743
11 Sep 2015 20:00,4200,4110
11 Sep 2015 21:00,4200,4200
11 Sep 2015 22:00,4200,4162
11 Sep 2015 23:00,4200,3603
12 Sep 2015 00:00,4200,4102
12 Sep 2015 01:00,4200,3768
12 Sep 2015 02:00,4200,4200
12 Sep 2015 03:00,4200,4096
12 Sep 2015 04:00,4200,4200
12 Sep 2015 05:00,4200,4089
12 Sep 2015 06:00,4200,3658
12 Sep 2015 07:00,4200,4160
12 Sep 2015 08:00,4200,3698
12 Sep 2015 09:00,4200,4200
12 Sep 2015 10:00,4200,4028
12 Sep 2015 11:00,4200,4172
12 Sep 2015 12:00,4200,3944
12 Sep 2015 13:00,4200,4200
12 Sep 2015 14:00,4200,3995
12 Sep 2015 15:00,4200,4200
12 Sep 2015 16:00,4200,4200
12 Sep 2015 17:00,4200,2993
12 Sep 2015 18:00,4200,4200
12 Sep 2015 19:00,4200,4200
12 Sep 2015 20:00,4200,4190
12 Sep 2015 21:00,4200,4137
12 Sep 2015 22:00,4200,3839
12 Sep 2015 23:00,4200,4097
13 Sep 2015 00:00,4200,4200
13 Sep 2015 01:00,4200,4097
13 Sep 2015 02:00,4200,4144
13 Sep 2015 03:00,4200,3719
13 Sep 2015 04:00,4200,4200
13 Sep 2015 05:00,4200,4156
13 Sep 2015 06:00,4200,4161
13 Sep 2015 07:00,4200,4200
13 Sep 2015 08:00,4200,3994
13 Sep 2015 09:00,4200,3968
13 Sep 2015 10:00,4200,4174
13 Sep 2015 11:00,4200,3774
13 Sep 2015 12:00,4200,4200
13 Sep 2015 13:00,4200,4200
13 Sep 2015 14:00,4200,4021
13 Sep 2015 15:00,4200,3837
13 Sep 2015 16:00,4200,3679
13 Sep 2015 17:00,4200,4200
13 Sep 2015 18:00,4200,4020
13 Sep 2015 19:00,4200,4173
13 Sep 2015 20:00,4200,4048
13 Sep 2015 21:00,4200,4187
13 Sep 2015 22:00,4200,4199
13 Sep 2015 23:00,4200,3808
14 Sep 2015 00:00,4200,4138
14 Sep 2015 01:00,4200,4150
14 Sep 2015 02:00,4200,4176
14 Sep 2015 03:00,4200,3758
14 Sep 2015 04:00,4200,4132
14 Sep 2015 05:00,4200,3943
14 Sep 2015 06:00,4200,3865
14 Sep 2015 07:00,4200,3964
14 Sep 2015 08:00,4200,3713
14 Sep 2015 09:00,4200,3807
14 Sep 2015 10:00,4200,3748
14 Sep 2015 11:00,4200,3790
14 Sep 2015 12:00,4200,3713
14 Sep 2015 13:00,4200,3402
14 Sep 2015 14:00,4200,3632
14 Sep 2015 15:00,4200,3753
14 Sep 2015 16:00,4200,4118
14 Sep 2015 17:00,4200,3650
14 Sep 2015 18:00,4200,3674
14 Sep 2015 19:00,4200,4098
14 Sep 2015 20:00,4200,4200
14 Sep 2015 21:00,4200,3812
14 Sep 2015 22:00,4200,4200
14 Sep 2015 23:00,4200,3843
15 Sep 2015 00:00,4200,3824
15 Sep 2015 01:00,4200,4152
15 Sep 2015 02:00,4200,4005
15 Sep 2015 03:00,4200,4200
15 Sep 2015 04:00,4200,4117
15 Sep 2015 05:00,4200,4200
15 Sep 2015 06:00,4200,4130
15 Sep 2015 07:00,4200,4171
15 Sep 2015 08:00,4200,4158
15 Sep 2015 09:00,4200,4144
15 Sep 2015 10:00,4200,4200
15 Sep 2015 11:00,4200,4200
15 Sep 2015 12:00,4200,4119
15 Sep 2015 13:00,4200,4200
15 Sep 2015 14:00,4200,4200
15 Sep 2015 15:00,4200,3713
15 Sep 2015 16:00,4200,4068
15 Sep 2015 17:00,4200,4200
15 Sep 2015 18:00,4200,3402
15 Sep 2015 19:00,4200,4108
15 Sep 2015 20:00,4200,3947
15 Sep 2015 21:00,4200,4200
15 Sep 2015 22:00,4200,4200
15 Sep 2015 23:00,4200,3908
16 Sep 2015 00:00,4200,3815
16 Sep 2015 01:00,4200,4200
16 Sep 2015 02:00,4200,4152
16 Sep 2015 03:00,4200,3695
16 Sep 2015 04:00,4200,4200
16 Sep 2015 05:00,4200,4119
16 Sep 2015 06:00,4200,3645
16 Sep 2015 07:00,4200,4200
16 Sep 2015 08:00,4200,3839
16 Sep 2015 09:00,4200,4200
16 Sep 2015 10:00,4200,4004
16 Sep 2015 11:00,4200,4081
16 Sep 2015 12:00,4200,4200
16 Sep 2015 13:00,4200,3774
16 Sep 2015 14:00,4200,3128
16 Sep 2015 15:00,4200,4083
16 Sep 2015 16:00,4200,4200
16 Sep 2015 17:00,4200,4175
16 Sep 2015 18:00,4200,3010
16 Sep 2015 19:00,4200,4200
16 Sep 2015 20:00,4200,3960
16 Sep 2015 21:00,4200,4168
16 Sep 2015 22:00,4200,3998
16 Sep 2015 23:00,4200,4200
17 Sep 2015 00:00,4200,3529
17 Sep 2015 01:00,4200,3875
17 Sep 2015 02:00,4200,4121
17 Sep 2015 03:00,4200,3763
17 Sep 2015 04:00,4200,4076
17 Sep 2015 05:00,4200,3431
17 Sep 2015 06:00,4200,4115
17 Sep 2015 07:00,4200,4136
17 Sep 2015 08:00,4200,3469
17 Sep 2015 09:00,4200,4200
17 Sep 2015 10:00,4200,3689
17 Sep 2015 11:00,4200,4200
17 Sep 2015 12:00,4200,4001
17 Sep 2015 13:00,4200,3908
17 Sep 2015 14:00,4200,3985
17 Sep 2015 15:00,4200,4200
17 Sep 2015 16:00,4200,4192
17 Sep 2015 17:00,4200,4200
17 Sep 2015 18:00,4200,4072
17 Sep 2015 19:00,4200,4035
17 Sep 2015 20:00,4200,3627
17 Sep 2015 21:00,4200,4033
17 Sep 2015 22:00,4200,4140
17 Sep 2015 23:00,4200,3988
18 Sep 2015 00:00,4200,3894
18 Sep 2015 01:00,4200,3980
18 Sep 2015 02:00,4200,4200
18 Sep 2015 03:00,4200,4163
18 Sep 2015 04:00,4200,3618
18 Sep 2015 05:00,4200,4142
18 Sep 2015 06:00,4200,4133
18 Sep 2015 07:00,4200,4016
18 Sep 2015 08:00,4200,3854
18 Sep 2015 09:00,4200,4052
18 Sep 2015 10:00,4200,4180
18 Sep 2015 11:00,4200,4200
18 Sep 2015 12:00,4200,4200
18 Sep 2015 13:00,4200,3330
18 Sep 2015 14:00,4200,4104
18 Sep 2015 15:00,4200,4067
18 Sep 2015 16:00,4200,4077
18 Sep 2015 17:00,4200,4031
18 Sep 2015 18:00,4200,4197
18 Sep 2015 19:00,4200,4200
18 Sep 2015 20:00,4200,4028
18 Sep 2015 21:00,4200,3810
18 Sep 2015 22:00,4200,3685
18 Sep 2015 23:00,4200,3397
19 Sep 2015 00:00,4200,4168
19 Sep 2015 01:00,4200,4068
19 Sep 2015 02:00,4200,4200
19 Sep 2015 03:00,4200,3901
19 Sep 2015 04:00,4200,4080
19 Sep 2015 05:00,4200,4142
19 Sep 2015 06:00,4200,4101
19 Sep 2015 07:00,4200,3575
19 Sep 2015 08:00,4200,3844
19 Sep 2015 09:00,4200,4200
19 Sep 2015 10:00,4200,4200
19 Sep 2015 11:00,4200,3733
19 Sep 2015 12:00,4200,3367
19 Sep 2015 13:00,4200,4126
19 Sep 2015 14:00,4200,3900
19 Sep 2015 15:00,4200,3955
19 Sep 2015 16:00,4200,4200
19 Sep 2015 17:00,4200,4200
19 Sep 2015 18:00,4200,4200
19 Sep 2015 19:00,4200,4200
19 Sep 2015 20:00,4200,4081
19 Sep 2015 21:00,4200,3826
19 Sep 2015 22:00,4200,4173
19 Sep 2015 23:00,4200,3594
20 Sep 2015 00:00,4200,3949
20 Sep 2015 01:00,4200,4126
20 Sep 2015 02:00,4200,3660
20 Sep 2015 03:00,4200,4089
20 Sep 2015 04:00,4200,4158
20 Sep 2015 05:00,4200,4200
20 Sep 2015 06:00,4200,3735
20 Sep 2015 07:00,4200,3650
20 Sep 2015 08:00,4200,4013
20 Sep 2015 09:00,4200,4057
20 Sep 2015 10:00,4200,4200
20 Sep 2015 11:00,4200,3835
20 Sep 2015 12:00,4200,3752
20 Sep 2015 13:00,4200,4005
20 Sep 2015 14:00,4200,3745
20 Sep 2015 15:00,4200,4200
20 Sep 2015 16:00,4200,4009
20 Sep 2015 17:00,4200,4019
20 Sep 2015 18:00,4200,3866
20 Sep 2015 19:00,4200,4072
20 Sep 2015 20:00,4200,3678
20 Sep 2015 21:00,4200,4200
20 Sep 2015 22:00,4200,3815
20 Sep 2015 23:00,4200,3697
21 Sep 2015 00:00,4200,3668
21 Sep 2015 01:00,4200,3831
21 Sep 2015 02:00,4200,3586
21 Sep 2015 03:00,4200,3137
21 Sep 2015 04:00,4200,3049
21 Sep 2015 05:00,4200,3751
21 Sep 2015 06:00,4200,4200
21 Sep 2015 07:00,4200,3643
21 Sep 2015 08:00,4200,4164
21 Sep 2015 09:00,4200,3562
21 Sep 2015 10:00,4200,4028
21 Sep 2015 11:00,4200,4200
21 Sep 2015 12:00,4200,4085
21 Sep 2015 13:00,4200,4171
21 Sep 2015 14:00,4200,4200
21 Sep 2015 15:00,4200,3645
21 Sep 2015 16:00,4200,3459
21 Sep 2015 17:00,4200,3958
21 Sep 2015 18:00,4200,4142
21 Sep 2015 19:00,4200,4098
21 Sep 2015 20:00,4200,4160
21 Sep 2015 21:00,4200,4057
21 Sep 2015 22:00,4200,3380
21 Sep 2015 23:00,4200,4055
22 Sep 2015 00:00,4200,4200
22 Sep 2015 01:00,4200,3910
22 Sep 2015 02:00,4200,3638
22 Sep 2015 03:00,4200,4200
22 Sep 2015 04:00,4200,4200
22 Sep 2015 05:00,4200,4200
22 Sep 2015 06:00,4200,3417
22 Sep 2015 07:00,4200,4094
22 Sep 2015 08:00,4200,3910
22 Sep 2015 09:00,4200,4137
22 Sep 2015 10:00,4200,4159
22 Sep 2015 11:00,4200,4141
22 Sep 2015 12:00,4200,4018
22 Sep 2015 13:00,4200,4144
22 Sep 2015 14:00,4200,3534
22 Sep 2015 15:00,4200,4200
22 Sep 2015 16:00,4200,3456
22 Sep 2015 17:00,4200,4057
22 Sep 2015 18:00,4200,4186
22 Sep 2015 19:00,4200,4151
22 Sep 2015 20:00,4200,4200
22 Sep 2015 21:00,4200,4200
22 Sep 2015 22:00,4200,4015
22 Sep 2015 23:00,4200,4114
23 Sep 2015 00:00,4200,4093
23 Sep 2015 01:00,4200,3878
23 Sep 2015 02:00,4200,4200
23 Sep 2015 03:00,4200,3773
23 Sep 2015 04:00,4200,4165
23 Sep 2015 05:00,4200,3484
23 Sep 2015 06:00,4200,4095
23 Sep 2015 07:00,4200,4039
23 Sep 2015 08:00,4200,4061
23 Sep 2015 09:00,4200,3970
23 Sep 2015 10:00,4200,4200
23 Sep 2015 11:00,4200,3668
23 Sep 2015 12:00,4200,4200
23 Sep 2015 13:00,4200,4200
23 Sep 2015 14:00,4200,4099
23 Sep 2015 15:00,4200,4200
23 Sep 2015 16:00,4200,4169
23 Sep 2015 17:00,4200,4111
23 Sep 2015 18:00,4200,4021
23 Sep 2015 19:00,4200,4122
23 Sep 2015 20:00,4200,4138
23 Sep 2015 21:00,4200,4177
23 Sep 2015 22:00,4200,4187
23 Sep 2015 23:00,4200,3954
24 Sep 2015 00:00,4200,4200
24 Sep 2015 01:00,4200,4117
24 Sep 2015 02:00,4200,3259
24 Sep 2015 03:00,4200,4161
24 Sep 2015 04:00,4200,4186
24 Sep 2015 05:00,4200,4155
24 Sep 2015 06:00,4200,4200
24 Sep 2015 07:00,4200,4200
24 Sep 2015 08:00,4200,3853
24 Sep 2015 09:00,4200,3663
24 Sep 2015 10:00,4200,3900
24 Sep 2015 11:00,4200,4012
24 Sep 2015 12:00,4200,3550
24 Sep 2015 13:00,4200,4200
24 Sep 2015 14:00,4200,3779
24 Sep 2015 15:00,4200,4200
24 Sep 2015 16:00,4200,4004
24 Sep 2015 17:00,4200,3298
24 Sep 2015 18:00,4200,3808
24 Sep 2015 19:00,4200,4045
24 Sep 2015 20:00,4200,3886
24 Sep 2015 21:00,4200,4122
24 Sep 2015 22:00,4200,3981
24 Sep 2015 23:00,4200,4200
25 Sep 2015 00:00,4200,4032
25 Sep 2015 01:00,4200,3944
25 Sep 2015 02:00,4200,3909
25 Sep 2015 03:00,4200,3698
25 Sep 2015 04:00,4200,3734
25 Sep 2015 05:00,4200,3994
25 Sep 2015 06:00,4200,4062
25 Sep 2015 07:00,4200,4200
25 Sep 2015 08:00,4200,4193
25 Sep 2015 09:00,4200,4039
25 Sep 2015 10:00,4200,4200
25 Sep 2015 11:00,4200,4126
25 Sep 2015 12:00,4200,4079
25 Sep 2015 13:00,4200,4161
25 Sep 2015 14:00,4200,4200
25 Sep 2015 15:00,4200,4200
25 Sep 2015 16:00,4200,4200
25 Sep 2015 17:00,4200,4044
25 Sep 2015 18:00,4200,4044
25 Sep 2015 19:00,4200,3971
25 Sep 2015 20:00,4200,4181
25 Sep 2015 21:00,4200,4083
25 Sep 2015 22:00,4200,3699
25 Sep 2015 23:00,4200,3420
26 Sep 2015 00:00,4200,4200
26 Sep 2015 01:00,4200,3487
26 Sep 2015 02:00,4200,4200
26 Sep 2015 03:00,4200,4057
26 Sep 2015 04:00,4200,3739
26 Sep 2015 05:00,4200,4085
26 Sep 2015 06:00,4200,4036
26 Sep 2015 07:00,4200,4132
26 Sep 2015 08:00,4200,4162
26 Sep 2015 09:00,4200,3967
26 Sep 2015 10:00,4200,3970
26 Sep 2015 11:00,4200,4107
26 Sep 2015 12:00,4200,4020
26 Sep 2015 13:00,4200,3992
26 Sep 2015 14:00,4200,3862
26 Sep 2015 15:00,4200,3988
26 Sep 2015 16:00,4200,4026
26 Sep 2015 17:00,4200,3883
26 Sep 2015 18:00,4200,3724
26 Sep 2015 19:00,4200,4161
26 Sep 2015 20:00,4200,4200
26 Sep 2015 21:00,4200,4200
26 Sep 2015 22:00,4200,4200
26 Sep 2015 23:00,4200,4200
27 Sep 2015 00:00,4200,4200
27 Sep 2015 01:00,4200,4200
27 Sep 2015 02:00,4200,4020
27 Sep 2015 03:00,4200,4112
27 Sep 2015 04:00,4200,4200
27 Sep 2015 05:00,4200,3948
27 Sep 2015 06:00,4200,4200
27 Sep 2015 07:00,4200,3896
27 Sep 2015 08:00,4200,3954
27 Sep 2015 09:00,4200,4200
27 Sep 2015 10:00,4200,3085
27 Sep 2015 11:00,4200,4200
27 Sep 2015 12:00,4200,3904
27 Sep 2015 13:00,4200,3683
27 Sep 2015 14:00,4200,4174
27 Sep 2015 15:00,4200,4200
27 Sep 2015 16:00,4200,4200
27 Sep 2015 17:00,4200,4090
27 Sep 2015 18:00,4200,4112
27 Sep 2015 19:00,4200,4200
27 Sep 2015 20:00,4200,4144
27 Sep 2015 21:00,4200,3409
27 Sep 2015 22:00,4200,4200
27 Sep 2015 23:00,4200,4098
28 Sep 2015 00:00,4200,4200
28 Sep 2015 01:00,4200,3983
28 Sep 2015 02:00,4200,3720
28 Sep 2015 03:00,4200,4200
28 Sep 2015 04:00,4200,4200
28 Sep 2015 05:00,4200,3954
28 Sep 2015 06:00,4200,3987
28 Sep 2015 07:00,4200,3161
28 Sep 2015 08:00,4200,3974
28 Sep 2015 09:00,4200,4177
28 Sep 2015 10:00,4200,4011
28 Sep 2015 11:00,4200,3711
28 Sep 2015 12:00,4200,3972
28 Sep 2015 13:00,4200,4157
28 Sep 2015 14:00,4200,3782
28 Sep 2015 15:00,4200,3923
28 Sep 2015 16:00,4200,4052
28 Sep 2015 17:00,4200,3253
28 Sep 2015 18:00,4200,4200
28 Sep 2015 19:00,4200,4200
28 Sep 2015 20:00,4200,4075
28 Sep 2015 21:00,4200,4150
28 Sep 2015 22:00,4200,3648
28 Sep 2015 23:00,4200,4200
29 Sep 2015 00:00,4200,4200
29 Sep 2015 01:00,4200,3518
29 Sep 2015 02:00,4200,3995
29 Sep 2015 03:00,4200,3290
29 Sep 2015 04:00,4200,4146
29 Sep 2015 05:00,4200,4200
29 Sep 2015 06:00,4200,4120
29 Sep 2015 07:00,4200,4140
29 Sep 2015 08:00,4200,3723
29 Sep 2015 09:00,4200,3648
29 Sep 2015 10:00,4200,3555
29 Sep 2015 11:00,4200,3660
29 Sep 2015 12:00,4200,4200
29 Sep 2015 13:00,4200,3729
29 Sep 2015 14:00,4200,4168
29 Sep 2015 15:00,4200,4023
29 Sep 2015 16:00,4200,4059
29 Sep 2015 17:00,4200,3943
29 Sep 2015 18:00,4200,4200
29 Sep 2015 19:00,4200,3946
29 Sep 2015 20:00,4200,4096
29 Sep 2015 21:00,4200,4200
29 Sep 2015 22:00,4200,4200
29 Sep 2015 23:00,4200,3892
30 Sep 2015 00:00,4200,3446
30 Sep 2015 01:00,4200,3945
30 Sep 2015 02:00,4200,3616
30 Sep 2015 03:00,4200,3407
30 Sep 2015 04:00,4200,3663
30 Sep 2015 05:00,4200,3589
30 Sep 2015 06:00,4200,3514
30 Sep 2015 07:00,4200,4131
30 Sep 2015 08:00,4200,4200
30 Sep 2015 09:00,4200,3979
30 Sep 2015 10:00,4200,4134
30 Sep 2015 11:00,4200,3659
30 Sep 2015 12:00,4200,4131
30 Sep 2015 13:00,4200,3565
30 Sep 2015 14:00,4200,4200
30 Sep 2015 15:00,4200,3934
30 Sep 2015 16:00,4200,4080
30 Sep 2015 17:00,4200,4144
30 Sep 2015 18:00,4200,4086
30 Sep 2015 19:00,4200,4200
30 Sep 2015 20:00,4200,4200
30 Sep 2015 21:00,4200,4082
30 Sep 2015 22:00,4200,4200
30 Sep 2015 23:00,4200,4200
