Dt1,Machine,7 Hour Count,Actual Tonnes1,Nominal Capacity1,Rolling Average,Rolling Average %
04 Sep 2015 00:00,RL1,4200,4200,3,4140.428571,0.014183673
04 Sep 2015 01:00,RL1,4200,4188,4,4138.714286,0.014591837
04 Sep 2015 02:00,RL1,4200,4174,5,4167.571429,0.007721088
04 Sep 2015 03:00,RL1,4200,3905,6,4125.428571,0.017755102
04 Sep 2015 04:00,RL1,4200,4195,7,4150.285714,0.011836735
04 Sep 2015 05:00,RL1,4200,3642,1,4070.571429,0.030816327
04 Sep 2015 06:00,RL1,4200,4161,2,4066.428571,0.031802721
04 Sep 2015 07:00,RL1,4200,4173,3,4062.571429,0.032721088
04 Sep 2015 08:00,RL1,4200,4197,4,4063.857143,0.032414966
04 Sep 2015 09:00,RL1,4200,4189,5,4066,0.031904762
04 Sep 2015 10:00,RL1,4200,4200,6,4108.142857,0.021870748
04 Sep 2015 11:00,RL1,4200,4198,7,4108.571429,0.021768707
04 Sep 2015 12:00,RL1,4200,4085,1,4171.857143,0.00670068
04 Sep 2015 13:00,RL1,4200,4167,2,4172.714286,0.006496599
04 Sep 2015 14:00,RL1,4200,4179,3,4173.571429,0.006292517
04 Sep 2015 15:00,RL1,4200,4146,4,4166.285714,0.008027211
04 Sep 2015 16:00,RL1,4200,4200,5,4167.857143,0.007653061
04 Sep 2015 17:00,RL1,4200,3889,6,4123.428571,0.018231293
04 Sep 2015 18:00,RL1,4200,4200,7,4123.714286,0.018163265
04 Sep 2015 19:00,RL1,4200,4117,1,4128.285714,0.01707483
04 Sep 2015 20:00,RL1,4200,3850,2,4083,0.027857143
04 Sep 2015 21:00,RL1,4200,4120,3,4074.571429,0.029863946
04 Sep 2015 22:00,RL1,4200,3986,4,4051.714286,0.035306122
04 Sep 2015 23:00,RL1,4200,4200,5,4051.714286,0.035306122
05 Sep 2015 00:00,RL1,4200,3816,6,4041.285714,0.037789116
05 Sep 2015 01:00,RL1,4200,3765,7,3979.142857,0.052585034
05 Sep 2015 02:00,RL1,4200,4175,1,3987.428571,0.050612245
05 Sep 2015 03:00,RL1,4200,3197,2,3894.142857,0.072823129
05 Sep 2015 04:00,RL1,4200,4200,3,3905.571429,0.070102041
05 Sep 2015 05:00,RL1,4200,3715,4,3866.857143,0.079319728
05 Sep 2015 06:00,RL1,4200,4200,5,3866.857143,0.079319728
05 Sep 2015 07:00,RL1,4200,4200,6,3921.714286,0.066258503
05 Sep 2015 08:00,RL1,4200,4190,7,3982.428571,0.051802721
05 Sep 2015 09:00,RL1,4200,4200,1,3986,0.050952381
05 Sep 2015 10:00,RL1,4200,3438,2,4020.428571,0.042755102
05 Sep 2015 11:00,RL1,4200,3946,3,3984.142857,0.051394558
05 Sep 2015 12:00,RL1,4200,3371,4,3935,0.063095238
05 Sep 2015 13:00,RL1,4200,3960,5,3900.714286,0.071258503
05 Sep 2015 14:00,RL1,4200,4186,6,3898.714286,0.071734694
05 Sep 2015 15:00,RL1,4200,3787,7,3841.142857,0.085442177
05 Sep 2015 16:00,RL1,4200,4200,1,3841.142857,0.085442177
05 Sep 2015 17:00,RL1,4200,3495,2,3849.285714,0.083503401
05 Sep 2015 18:00,RL1,4200,4141,3,3877.142857,0.076870748
05 Sep 2015 19:00,RL1,4200,4200,4,3995.571429,0.048673469
05 Sep 2015 20:00,RL1,4200,4200,5,4029.857143,0.040510204
05 Sep 2015 21:00,RL1,4200,4153,6,4025.142857,0.041632653
05 Sep 2015 22:00,RL1,4200,3878,7,4038.142857,0.038537415
05 Sep 2015 23:00,RL1,4200,3659,1,3960.857143,0.056938776
06 Sep 2015 00:00,RL1,4200,4174,2,4057.857143,0.033843537
06 Sep 2015 01:00,RL1,4200,3786,3,4007.142857,0.045918367
06 Sep 2015 02:00,RL1,4200,4073,4,3989,0.050238095
06 Sep 2015 03:00,RL1,4200,4163,5,3983.714286,0.051496599
06 Sep 2015 04:00,RL1,4200,3549,6,3897.428571,0.072040816
06 Sep 2015 05:00,RL1,4200,3567,7,3853,0.082619048
06 Sep 2015 06:00,RL1,4200,4164,1,3925.142857,0.065442177
06 Sep 2015 07:00,RL1,4200,4149,2,3921.571429,0.066292517
06 Sep 2015 08:00,RL1,4200,3517,3,3883.142857,0.075442177
06 Sep 2015 09:00,RL1,4200,3677,4,3826.571429,0.088911565
06 Sep 2015 10:00,RL1,4200,4192,5,3830.714286,0.08792517
06 Sep 2015 11:00,RL1,4200,4200,6,3923.714286,0.065782313
06 Sep 2015 12:00,RL1,4200,4200,7,4014.142857,0.044251701
06 Sep 2015 13:00,RL1,4200,4200,1,4019.285714,0.043027211
06 Sep 2015 14:00,RL1,4200,4118,2,4014.857143,0.044081633
06 Sep 2015 15:00,RL1,4200,3811,3,4056.857143,0.034081633
06 Sep 2015 16:00,RL1,4200,4200,4,4131.571429,0.016292517
06 Sep 2015 17:00,RL1,4200,4197,5,4132.285714,0.016122449
06 Sep 2015 18:00,RL1,4200,4154,6,4125.714286,0.017687075
06 Sep 2015 19:00,RL1,4200,4200,7,4125.714286,0.017687075
06 Sep 2015 20:00,RL1,4200,4200,1,4125.714286,0.017687075
06 Sep 2015 21:00,RL1,4200,3367,2,4018.428571,0.043231293
06 Sep 2015 22:00,RL1,4200,4029,3,4049.571429,0.035816327
06 Sep 2015 23:00,RL1,4200,3730,4,3982.428571,0.051802721
07 Sep 2015 00:00,RL1,4200,4200,5,3982.857143,0.05170068
07 Sep 2015 01:00,RL1,4200,4153,6,3982.714286,0.051734694
07 Sep 2015 02:00,RL1,4200,3854,7,3933.285714,0.063503401
07 Sep 2015 03:00,RL1,4200,4200,1,3933.285714,0.063503401
07 Sep 2015 04:00,RL1,4200,4200,2,4052.285714,0.035170068
07 Sep 2015 05:00,RL1,4200,3837,3,4024.857143,0.04170068
07 Sep 2015 06:00,RL1,4200,4200,4,4092,0.025714286
07 Sep 2015 07:00,RL1,4200,4018,5,4066,0.031904762
07 Sep 2015 08:00,RL1,4200,4088,6,4056.714286,0.034115646
07 Sep 2015 09:00,RL1,4200,4164,7,4101,0.023571429
07 Sep 2015 10:00,RL1,4200,4200,1,4101,0.023571429
07 Sep 2015 11:00,RL1,4200,3711,2,4031.142857,0.040204082
07 Sep 2015 12:00,RL1,4200,3657,3,4005.428571,0.046326531
07 Sep 2015 13:00,RL1,4200,4154,4,3998.857143,0.047891156
07 Sep 2015 14:00,RL1,4200,4200,5,4024.857143,0.04170068
07 Sep 2015 15:00,RL1,4200,3527,6,3944.714286,0.060782313
07 Sep 2015 16:00,RL1,4200,3705,7,3879.142857,0.076394558
07 Sep 2015 17:00,RL1,4200,4200,1,3879.142857,0.076394558
07 Sep 2015 18:00,RL1,4200,4200,2,3949,0.059761905
07 Sep 2015 19:00,RL1,4200,4171,3,4022.428571,0.042278912
07 Sep 2015 20:00,RL1,4200,4200,4,4029,0.040714286
07 Sep 2015 21:00,RL1,4200,3834,5,3976.714286,0.053163265
07 Sep 2015 22:00,RL1,4200,4181,6,4070.142857,0.030918367
07 Sep 2015 23:00,RL1,4200,4200,7,4140.857143,0.014081633
08 Sep 2015 00:00,RL1,4200,4116,1,4128.857143,0.016938776
08 Sep 2015 01:00,RL1,4200,4181,2,4126.142857,0.017585034
08 Sep 2015 02:00,RL1,4200,4185,3,4128.142857,0.017108844
08 Sep 2015 03:00,RL1,4200,3911,4,4086.857143,0.026938776
08 Sep 2015 04:00,RL1,4200,4179,5,4136.142857,0.015204082
08 Sep 2015 05:00,RL1,4200,4157,6,4132.714286,0.016020408
08 Sep 2015 06:00,RL1,4200,4200,7,4132.714286,0.016020408
08 Sep 2015 07:00,RL1,4200,4147,1,4137.142857,0.014965986
08 Sep 2015 08:00,RL1,4200,4181,2,4137.142857,0.014965986
08 Sep 2015 09:00,RL1,4200,4168,3,4134.714286,0.015544218
08 Sep 2015 10:00,RL1,4200,4200,4,4176,0.005714286
08 Sep 2015 11:00,RL1,4200,4154,5,4172.428571,0.006564626
08 Sep 2015 12:00,RL1,4200,4190,6,4177.142857,0.005442177
08 Sep 2015 13:00,RL1,4200,4192,7,4176,0.005714286
08 Sep 2015 14:00,RL1,4200,4200,1,4183.571429,0.003911565
08 Sep 2015 15:00,RL1,4200,3727,2,4118.714286,0.019353741
08 Sep 2015 16:00,RL1,4200,4200,3,4123.285714,0.018265306
08 Sep 2015 17:00,RL1,4200,3930,4,4084.714286,0.02744898
08 Sep 2015 18:00,RL1,4200,3902,5,4048.714286,0.036020408
08 Sep 2015 19:00,RL1,4200,3534,6,3955,0.058333333
08 Sep 2015 20:00,RL1,4200,4134,7,3946.714286,0.060306122
08 Sep 2015 21:00,RL1,4200,4068,1,3927.857143,0.064795918
08 Sep 2015 22:00,RL1,4200,4200,2,3995.428571,0.048707483
08 Sep 2015 23:00,RL1,4200,4174,3,3991.714286,0.049591837
09 Sep 2015 00:00,RL1,4200,4200,4,4030.285714,0.040408163
09 Sep 2015 01:00,RL1,4200,4077,5,4055.285714,0.034455782
09 Sep 2015 02:00,RL1,4200,3955,6,4115.428571,0.020136054
09 Sep 2015 03:00,RL1,4200,3520,7,4027.714286,0.041020408
09 Sep 2015 04:00,RL1,4200,4200,1,4046.571429,0.036530612
09 Sep 2015 05:00,RL1,4200,4200,2,4046.571429,0.036530612
09 Sep 2015 06:00,RL1,4200,4151,3,4043.285714,0.037312925
09 Sep 2015 07:00,RL1,4200,4200,4,4043.285714,0.037312925
09 Sep 2015 08:00,RL1,4200,3652,5,3982.571429,0.051768707
09 Sep 2015 09:00,RL1,4200,4200,6,4017.571429,0.043435374
09 Sep 2015 10:00,RL1,4200,4155,7,4108.285714,0.021836735
09 Sep 2015 11:00,RL1,4200,4035,1,4084.714286,0.02744898
09 Sep 2015 12:00,RL1,4200,4128,2,4074.428571,0.029897959
09 Sep 2015 13:00,RL1,4200,4127,3,4071,0.030714286
09 Sep 2015 14:00,RL1,4200,4022,4,4045.571429,0.036768707
09 Sep 2015 15:00,RL1,4200,4086,5,4107.571429,0.022006803
09 Sep 2015 16:00,RL1,4200,3754,6,4043.857143,0.037176871
09 Sep 2015 17:00,RL1,4200,4200,7,4050.285714,0.035646259
09 Sep 2015 18:00,RL1,4200,4085,1,4057.428571,0.033945578
09 Sep 2015 19:00,RL1,4200,3771,2,4006.428571,0.046088435
09 Sep 2015 20:00,RL1,4200,4200,3,4016.857143,0.043605442
09 Sep 2015 21:00,RL1,4200,3881,4,3996.714286,0.048401361
09 Sep 2015 22:00,RL1,4200,4200,5,4013,0.04452381
09 Sep 2015 23:00,RL1,4200,4182,6,4074.142857,0.029965986
10 Sep 2015 00:00,RL1,4200,3873,7,4027.428571,0.041088435
10 Sep 2015 01:00,RL1,4200,4200,1,4043.857143,0.037176871
10 Sep 2015 02:00,RL1,4200,2990,2,3932.285714,0.063741497
10 Sep 2015 03:00,RL1,4200,4084,3,3915.714286,0.067687075
10 Sep 2015 04:00,RL1,4200,4103,4,3947.428571,0.060136054
10 Sep 2015 05:00,RL1,4200,4200,5,3947.428571,0.060136054
10 Sep 2015 06:00,RL1,4200,4118,6,3938.285714,0.062312925
10 Sep 2015 07:00,RL1,4200,3111,7,3829.428571,0.088231293
10 Sep 2015 08:00,RL1,4200,4147,1,3821.857143,0.090034014
10 Sep 2015 09:00,RL1,4200,4181,2,3992,0.04952381
10 Sep 2015 10:00,RL1,4200,4002,3,3980.285714,0.052312925
10 Sep 2015 11:00,RL1,4200,4159,4,3988.285714,0.050408163
10 Sep 2015 12:00,RL1,4200,4061,5,3968.428571,0.055136054
10 Sep 2015 13:00,RL1,4200,4133,6,3970.571429,0.05462585
10 Sep 2015 14:00,RL1,4200,3929,7,4087.428571,0.026802721
10 Sep 2015 15:00,RL1,4200,4126,1,4084.428571,0.027517007
10 Sep 2015 16:00,RL1,4200,4097,2,4072.428571,0.03037415
10 Sep 2015 17:00,RL1,4200,3959,3,4066.285714,0.031836735
10 Sep 2015 18:00,RL1,4200,4114,4,4059.857143,0.033367347
10 Sep 2015 19:00,RL1,4200,3779,5,4019.571429,0.042959184
10 Sep 2015 20:00,RL1,4200,4104,6,4015.428571,0.043945578
10 Sep 2015 21:00,RL1,4200,4200,7,4054.142857,0.034727891
10 Sep 2015 22:00,RL1,4200,4105,1,4051.142857,0.035442177
10 Sep 2015 23:00,RL1,4200,4200,2,4065.857143,0.031938776
11 Sep 2015 00:00,RL1,4200,4200,3,4100.285714,0.023741497
11 Sep 2015 01:00,RL1,4200,4174,4,4108.857143,0.02170068
11 Sep 2015 02:00,RL1,4200,4081,5,4152,0.011428571
11 Sep 2015 03:00,RL1,4200,4135,6,4156.428571,0.01037415
11 Sep 2015 04:00,RL1,4200,4007,7,4128.857143,0.016938776
11 Sep 2015 05:00,RL1,4200,3976,1,4110.428571,0.021326531
11 Sep 2015 06:00,RL1,4200,4056,2,4089.857143,0.02622449
11 Sep 2015 07:00,RL1,4200,3998,3,4061,0.033095238
11 Sep 2015 08:00,RL1,4200,3758,4,4001.571429,0.047244898
11 Sep 2015 09:00,RL1,4200,4200,5,4018.571429,0.043197279
11 Sep 2015 10:00,RL1,4200,4200,6,4027.857143,0.040986395
11 Sep 2015 11:00,RL1,4200,4200,7,4055.428571,0.034421769
11 Sep 2015 12:00,RL1,4200,4186,1,4085.428571,0.027278912
11 Sep 2015 13:00,RL1,4200,3629,2,4024.428571,0.041802721
11 Sep 2015 14:00,RL1,4200,3834,3,4001,0.047380952
11 Sep 2015 15:00,RL1,4200,4175,4,4060.571429,0.033197279
11 Sep 2015 16:00,RL1,4200,3618,5,3977.428571,0.052993197
11 Sep 2015 17:00,RL1,4200,4200,6,3977.428571,0.052993197
11 Sep 2015 18:00,RL1,4200,4037,7,3954.142857,0.058537415
11 Sep 2015 19:00,RL1,4200,3743,1,3890.857143,0.073605442
11 Sep 2015 20:00,RL1,4200,4110,2,3959.571429,0.057244898
11 Sep 2015 21:00,RL1,4200,4200,3,4011.857143,0.044795918
11 Sep 2015 22:00,RL1,4200,4162,4,4010,0.045238095
11 Sep 2015 23:00,RL1,4200,3603,5,4007.857143,0.045748299
12 Sep 2015 00:00,RL1,4200,4102,6,3993.857143,0.049081633
12 Sep 2015 01:00,RL1,4200,3768,7,3955.428571,0.058231293
12 Sep 2015 02:00,RL1,4200,4200,1,4020.714286,0.042687075
12 Sep 2015 03:00,RL1,4200,4096,2,4018.714286,0.043163265
12 Sep 2015 04:00,RL1,4200,4200,3,4018.714286,0.043163265
12 Sep 2015 05:00,RL1,4200,4089,4,4008.285714,0.045646259
12 Sep 2015 06:00,RL1,4200,3658,5,4016.142857,0.04377551
12 Sep 2015 07:00,RL1,4200,4160,6,4024.428571,0.041802721
12 Sep 2015 08:00,RL1,4200,3698,7,4014.428571,0.044183673
12 Sep 2015 09:00,RL1,4200,4200,1,4014.428571,0.044183673
12 Sep 2015 10:00,RL1,4200,4028,2,4004.714286,0.046496599
12 Sep 2015 11:00,RL1,4200,4172,3,4000.714286,0.04744898
12 Sep 2015 12:00,RL1,4200,3944,4,3980,0.052380952
12 Sep 2015 13:00,RL1,4200,4200,5,4057.428571,0.033945578
12 Sep 2015 14:00,RL1,4200,3995,6,4033.857143,0.039557823
12 Sep 2015 15:00,RL1,4200,4200,7,4105.571429,0.022482993
12 Sep 2015 16:00,RL1,4200,4200,1,4105.571429,0.022482993
12 Sep 2015 17:00,RL1,4200,2993,2,3957.714286,0.057687075
12 Sep 2015 18:00,RL1,4200,4200,3,3961.714286,0.056734694
12 Sep 2015 19:00,RL1,4200,4200,4,3998.285714,0.048027211
12 Sep 2015 20:00,RL1,4200,4190,5,3996.857143,0.048367347
12 Sep 2015 21:00,RL1,4200,4137,6,4017.142857,0.043537415
12 Sep 2015 22:00,RL1,4200,3839,7,3965.571429,0.055816327
12 Sep 2015 23:00,RL1,4200,4097,1,3950.857143,0.059319728
13 Sep 2015 00:00,RL1,4200,4200,2,4123.285714,0.018265306
13 Sep 2015 01:00,RL1,4200,4097,3,4108.571429,0.021768707
13 Sep 2015 02:00,RL1,4200,4144,4,4100.571429,0.023673469
13 Sep 2015 03:00,RL1,4200,3719,5,4033.285714,0.039693878
13 Sep 2015 04:00,RL1,4200,4200,6,4042.285714,0.03755102
13 Sep 2015 05:00,RL1,4200,4156,7,4087.571429,0.026768707
13 Sep 2015 06:00,RL1,4200,4161,1,4096.714286,0.024591837
13 Sep 2015 07:00,RL1,4200,4200,2,4096.714286,0.024591837
13 Sep 2015 08:00,RL1,4200,3994,3,4082,0.028095238
13 Sep 2015 09:00,RL1,4200,3968,4,4056.857143,0.034081633
13 Sep 2015 10:00,RL1,4200,4174,5,4121.857143,0.018605442
13 Sep 2015 11:00,RL1,4200,3774,6,4061,0.033095238
13 Sep 2015 12:00,RL1,4200,4200,7,4067.285714,0.031598639
13 Sep 2015 13:00,RL1,4200,4200,1,4072.857143,0.030272109
13 Sep 2015 14:00,RL1,4200,4021,2,4047.285714,0.036360544
13 Sep 2015 15:00,RL1,4200,3837,3,4024.857143,0.04170068
13 Sep 2015 16:00,RL1,4200,3679,4,3983.571429,0.051530612
13 Sep 2015 17:00,RL1,4200,4200,5,3987.285714,0.050646259
13 Sep 2015 18:00,RL1,4200,4020,6,4022.428571,0.042278912
13 Sep 2015 19:00,RL1,4200,4173,7,4018.571429,0.043197279
13 Sep 2015 20:00,RL1,4200,4048,1,3996.857143,0.048367347
13 Sep 2015 21:00,RL1,4200,4187,2,4020.571429,0.042721088
13 Sep 2015 22:00,RL1,4200,4199,3,4072.285714,0.030408163
13 Sep 2015 23:00,RL1,4200,3808,4,4090.714286,0.026020408
14 Sep 2015 00:00,RL1,4200,4138,5,4081.857143,0.028129252
14 Sep 2015 01:00,RL1,4200,4150,6,4100.428571,0.023707483
14 Sep 2015 02:00,RL1,4200,4176,7,4100.857143,0.023605442
14 Sep 2015 03:00,RL1,4200,3758,1,4059.428571,0.033469388
14 Sep 2015 04:00,RL1,4200,4132,2,4051.571429,0.035340136
14 Sep 2015 05:00,RL1,4200,3943,3,4015,0.044047619
14 Sep 2015 06:00,RL1,4200,3865,4,4023.142857,0.042108844
14 Sep 2015 07:00,RL1,4200,3964,5,3998.285714,0.048027211
14 Sep 2015 08:00,RL1,4200,3713,6,3935.857143,0.062891156
14 Sep 2015 09:00,RL1,4200,3807,7,3883.142857,0.075442177
14 Sep 2015 10:00,RL1,4200,3748,1,3881.714286,0.075782313
14 Sep 2015 11:00,RL1,4200,3790,2,3832.857143,0.087414966
14 Sep 2015 12:00,RL1,4200,3713,3,3800,0.095238095
14 Sep 2015 13:00,RL1,4200,3402,4,3733.857143,0.110986395
14 Sep 2015 14:00,RL1,4200,3632,5,3686.428571,0.122278912
14 Sep 2015 15:00,RL1,4200,3753,6,3692.142857,0.120918367
14 Sep 2015 16:00,RL1,4200,4118,7,3736.571429,0.110340136
14 Sep 2015 17:00,RL1,4200,3650,1,3722.571429,0.113673469
14 Sep 2015 18:00,RL1,4200,3674,2,3706,0.117619048
14 Sep 2015 19:00,RL1,4200,4098,3,3761,0.10452381
14 Sep 2015 20:00,RL1,4200,4200,4,3875,0.077380952
14 Sep 2015 21:00,RL1,4200,3812,5,3900.714286,0.071258503
14 Sep 2015 22:00,RL1,4200,4200,6,3964.571429,0.056054422
14 Sep 2015 23:00,RL1,4200,3843,7,3925.285714,0.065408163
15 Sep 2015 00:00,RL1,4200,3824,1,3950.142857,0.059489796
15 Sep 2015 01:00,RL1,4200,4152,2,4018.428571,0.043231293
15 Sep 2015 02:00,RL1,4200,4005,3,4005.142857,0.046394558
15 Sep 2015 03:00,RL1,4200,4200,4,4005.142857,0.046394558
15 Sep 2015 04:00,RL1,4200,4117,5,4048.714286,0.036020408
15 Sep 2015 05:00,RL1,4200,4200,6,4048.714286,0.036020408
15 Sep 2015 06:00,RL1,4200,4130,7,4089.714286,0.026258503
15 Sep 2015 07:00,RL1,4200,4171,1,4139.285714,0.014455782
15 Sep 2015 08:00,RL1,4200,4158,2,4140.142857,0.014251701
15 Sep 2015 09:00,RL1,4200,4144,3,4160,0.00952381
15 Sep 2015 10:00,RL1,4200,4200,4,4160,0.00952381
15 Sep 2015 11:00,RL1,4200,4200,5,4171.857143,0.00670068
15 Sep 2015 12:00,RL1,4200,4119,6,4160.285714,0.009455782
15 Sep 2015 13:00,RL1,4200,4200,7,4170.285714,0.00707483
15 Sep 2015 14:00,RL1,4200,4200,1,4174.428571,0.006088435
15 Sep 2015 15:00,RL1,4200,3713,2,4110.857143,0.02122449
15 Sep 2015 16:00,RL1,4200,4068,3,4100,0.023809524
15 Sep 2015 17:00,RL1,4200,4200,4,4100,0.023809524
15 Sep 2015 18:00,RL1,4200,3402,5,3986,0.050952381
15 Sep 2015 19:00,RL1,4200,4108,6,3984.428571,0.051326531
15 Sep 2015 20:00,RL1,4200,3947,7,3948.285714,0.059931973
15 Sep 2015 21:00,RL1,4200,4200,1,3948.285714,0.059931973
15 Sep 2015 22:00,RL1,4200,4200,2,4017.857143,0.043367347
15 Sep 2015 23:00,RL1,4200,3908,3,3995,0.048809524
16 Sep 2015 00:00,RL1,4200,3815,4,3940,0.061904762
16 Sep 2015 01:00,RL1,4200,4200,5,4054,0.034761905
16 Sep 2015 02:00,RL1,4200,4152,6,4060.285714,0.033265306
16 Sep 2015 03:00,RL1,4200,3695,7,4024.285714,0.041836735
16 Sep 2015 04:00,RL1,4200,4200,1,4024.285714,0.041836735
16 Sep 2015 05:00,RL1,4200,4119,2,4012.714286,0.044591837
16 Sep 2015 06:00,RL1,4200,3645,3,3975.142857,0.053537415
16 Sep 2015 07:00,RL1,4200,4200,4,4030.142857,0.040442177
16 Sep 2015 08:00,RL1,4200,3839,5,3978.571429,0.052721088
16 Sep 2015 09:00,RL1,4200,4200,6,3985.428571,0.051088435
16 Sep 2015 10:00,RL1,4200,4004,7,4029.571429,0.040578231
16 Sep 2015 11:00,RL1,4200,4081,1,4012.571429,0.04462585
16 Sep 2015 12:00,RL1,4200,4200,2,4024.142857,0.041870748
16 Sep 2015 13:00,RL1,4200,3774,3,4042.571429,0.037482993
16 Sep 2015 14:00,RL1,4200,3128,4,3889.428571,0.073945578
16 Sep 2015 15:00,RL1,4200,4083,5,3924.285714,0.065646259
16 Sep 2015 16:00,RL1,4200,4200,6,3924.285714,0.065646259
16 Sep 2015 17:00,RL1,4200,4175,7,3948.714286,0.059829932
16 Sep 2015 18:00,RL1,4200,3010,1,3795.714286,0.096258503
16 Sep 2015 19:00,RL1,4200,4200,2,3795.714286,0.096258503
16 Sep 2015 20:00,RL1,4200,3960,3,3822.285714,0.089931973
16 Sep 2015 21:00,RL1,4200,4168,4,3970.857143,0.054557823
16 Sep 2015 22:00,RL1,4200,3998,5,3958.714286,0.05744898
16 Sep 2015 23:00,RL1,4200,4200,6,3958.714286,0.05744898
17 Sep 2015 00:00,RL1,4200,3529,7,3866.428571,0.079421769
