Dt,Nominal Capacity,Actual Tonnes
2015-09-04 11:00,3450,3035
2015-09-04 12:00,3450,2494
2015-09-04 13:00,3450,3450
2015-09-04 14:00,3450,3450
2015-09-04 15:00,3450,3222
2015-09-04 16:00,3450,3316
2015-09-04 17:00,3450,3450
2015-09-04 18:00,3450,3034
2015-09-04 19:00,3450,3250
2015-09-04 20:00,3450,3450
2015-09-04 21:00,3450,3450
2015-09-04 22:00,3450,3450
2015-09-04 23:00,3450,3450
2015-09-05 0:00,3450,3450
2015-09-05 1:00,3450,3450
2015-09-05 2:00,3450,3450
2015-09-05 3:00,3450,3330
2015-09-05 4:00,3450,3450
2015-09-05 5:00,3450,3450
2015-09-05 6:00,3450,3450
2015-09-05 7:00,3450,3148
2015-09-05 8:00,3450,3420
2015-09-05 9:00,3450,3442
2015-09-05 10:00,3450,3232
2015-09-05 11:00,3450,3348
2015-09-05 12:00,3450,3450
2015-09-05 13:00,3450,2804
2015-09-05 14:00,3450,3450
2015-09-05 15:00,3450,3450
2015-09-05 16:00,3450,3265
2015-09-05 17:00,3450,3450
2015-09-05 18:00,3450,3450
2015-09-05 19:00,3450,3450
2015-09-05 20:00,3450,3276
2015-09-05 21:00,3450,3450
2015-09-05 22:00,3450,3450
2015-09-05 23:00,3450,3062
2015-09-06 0:00,3450,3450
2015-09-06 1:00,3450,3450
2015-09-06 2:00,3450,3345
2015-09-06 3:00,3450,3308
2015-09-06 4:00,3450,3390
2015-09-06 5:00,3450,2958
2015-09-06 6:00,3450,3450
2015-09-06 7:00,3450,3450
2015-09-06 8:00,3450,3450
2015-09-06 9:00,3450,3450
2015-09-06 10:00,3450,3094
2015-09-06 11:00,3450,3450
2015-09-06 12:00,3450,3450
2015-09-06 13:00,3450,3247
2015-09-06 14:00,3450,3437
2015-09-06 15:00,3450,3179
2015-09-06 16:00,3450,3450
2015-09-06 17:00,3450,3450
2015-09-06 18:00,3450,2947
2015-09-06 19:00,3450,3450
2015-09-06 20:00,3450,3450
2015-09-06 21:00,3450,3356
2015-09-06 22:00,3450,3175
2015-09-06 23:00,3450,3450
2015-09-07 0:00,3450,3104
2015-09-07 1:00,3450,3450
2015-09-07 2:00,3450,2974
2015-09-07 3:00,3450,3450
2015-09-07 4:00,3450,3430
2015-09-07 5:00,3450,3450
2015-09-07 6:00,3450,3128
2015-09-07 7:00,3450,3450
2015-09-07 8:00,3450,3450
2015-09-07 9:00,3450,3450
2015-09-07 10:00,3450,3450
2015-09-07 11:00,3450,3450
2015-09-07 12:00,3450,3400
2015-09-07 13:00,3450,3450
2015-09-07 14:00,3450,3450
2015-09-07 15:00,3450,3117
2015-09-07 16:00,3450,3450
2015-09-07 17:00,3450,3151
2015-09-07 18:00,3450,3424
2015-09-07 19:00,3450,3336
2015-09-07 20:00,3450,3450
2015-09-07 21:00,3450,3450
2015-09-07 22:00,3450,3450
2015-09-07 23:00,3450,3356
2015-09-08 0:00,3450,3286
2015-09-08 1:00,3450,3055
2015-09-08 2:00,3450,3446
2015-09-08 3:00,3450,3208
2015-09-08 4:00,3450,3450
2015-09-08 5:00,3450,3290
2015-09-08 6:00,3450,3361
2015-09-08 7:00,3450,3414
2015-09-08 8:00,3450,3051
2015-09-08 9:00,3450,3450
2015-09-08 10:00,3450,3450
2015-09-08 11:00,3450,3429
2015-09-08 12:00,3450,3450
2015-09-08 13:00,3450,3450
2015-09-08 14:00,3450,3332
2015-09-08 15:00,3450,3404
2015-09-08 16:00,3450,3406
2015-09-08 17:00,3450,2961
2015-09-08 18:00,3450,3407
2015-09-08 19:00,3450,3450
2015-09-08 20:00,3450,3315
2015-09-08 21:00,3450,3435
2015-09-08 22:00,3450,3450
2015-09-08 23:00,3450,3450
2015-09-09 0:00,3450,3227
2015-09-09 1:00,3450,3450
2015-09-09 2:00,3450,3073
2015-09-09 3:00,3450,3309
2015-09-09 4:00,3450,2829
2015-09-09 5:00,3450,3378
2015-09-09 6:00,3450,3450
2015-09-09 7:00,3450,3066
2015-09-09 8:00,3450,3450
2015-09-09 9:00,3450,3450
2015-09-09 10:00,3450,3304
2015-09-09 11:00,3450,3450
2015-09-09 12:00,3450,3285
2015-09-09 13:00,3450,3190
2015-09-09 14:00,3450,3225
2015-09-09 15:00,3450,3450
2015-09-09 16:00,3450,3450
2015-09-09 17:00,3450,3450
2015-09-09 18:00,3450,3177
2015-09-09 19:00,3450,3000
2015-09-09 20:00,3450,3000
2015-09-09 21:00,3450,3000
2015-09-09 22:00,3450,3000
2015-09-09 23:00,3450,3000
2015-09-10 0:00,3450,3000
2015-09-10 1:00,3450,3000
2015-09-10 2:00,3450,3000
2015-09-10 3:00,3450,3000
2015-09-10 4:00,3450,3000
2015-09-10 5:00,3450,3000
2015-09-10 6:00,3450,3000
2015-09-10 7:00,3450,3000
2015-09-10 8:00,3450,3000
2015-09-10 9:00,3450,3000
2015-09-10 10:00,3450,3000
2015-09-10 11:00,3450,3000
2015-09-10 12:00,3450,3000
2015-09-10 13:00,3450,3000
2015-09-10 14:00,3450,3000
2015-09-10 15:00,3450,3000
2015-09-10 16:00,3450,3000
2015-09-10 17:00,3450,3000
2015-09-10 18:00,3450,3000
2015-09-10 19:00,3450,3000
2015-09-10 20:00,3450,3202
2015-09-10 21:00,3450,3319
2015-09-10 22:00,3450,3319
2015-09-10 23:00,3450,3359
2015-09-11 0:00,3450,3375
2015-09-11 1:00,3450,3450
2015-09-11 2:00,3450,3450
2015-09-11 3:00,3450,3450
2015-09-11 4:00,3450,3440
2015-09-11 5:00,3450,3450
2015-09-11 6:00,3450,3115
2015-09-11 7:00,3450,3439
2015-09-11 8:00,3450,3180
2015-09-11 9:00,3450,3450
2015-09-11 10:00,3450,3450
2015-09-11 11:00,3450,2950
2015-09-11 12:00,3450,3374
2015-09-11 13:00,3450,3450
2015-09-11 14:00,3450,3450
2015-09-11 15:00,3450,3450
2015-09-11 16:00,3450,3395
2015-09-11 17:00,3450,3450
2015-09-11 18:00,3450,3450
2015-09-11 19:00,3450,3450
2015-09-11 20:00,3450,3450
2015-09-11 21:00,3450,3310
2015-09-11 22:00,3450,3223
2015-09-11 23:00,3450,3450
2015-09-12 0:00,3450,3450
2015-09-12 1:00,3450,3450
2015-09-12 2:00,3450,3450
2015-09-12 3:00,3450,3450
2015-09-12 4:00,3450,3112
2015-09-12 5:00,3450,3450
2015-09-12 6:00,3450,3386
2015-09-12 7:00,3450,3340
2015-09-12 8:00,3450,3182
2015-09-12 9:00,3450,3141
2015-09-12 10:00,3450,2947
2015-09-12 11:00,3450,3028
2015-09-12 12:00,3450,3303
2015-09-12 13:00,3450,3450
2015-09-12 14:00,3450,3309
2015-09-12 15:00,3450,2948
2015-09-12 16:00,3450,3450
2015-09-12 17:00,3450,3450
2015-09-12 18:00,3450,3450
2015-09-12 19:00,3450,3384
2015-09-12 20:00,3450,3030
2015-09-12 21:00,3450,3374
2015-09-12 22:00,3450,3283
2015-09-12 23:00,3450,2661
2015-09-13 0:00,3450,3450
2015-09-13 1:00,3450,3196
2015-09-13 2:00,3450,3421
2015-09-13 3:00,3450,3326
2015-09-13 4:00,3450,2871
2015-09-13 5:00,3450,3450
2015-09-13 6:00,3450,3292
2015-09-13 7:00,3450,3339
2015-09-13 8:00,3450,3272
2015-09-13 9:00,3450,3450
2015-09-13 10:00,3450,3450
2015-09-13 11:00,3450,3450
2015-09-13 12:00,3450,3450
2015-09-13 13:00,3450,3371
2015-09-13 14:00,3450,3450
2015-09-13 15:00,3450,3450
2015-09-13 16:00,3450,3450
2015-09-13 17:00,3450,3450
2015-09-13 18:00,3450,3450
2015-09-13 19:00,3450,3450
2015-09-13 20:00,3450,3450
2015-09-13 21:00,3450,3187
2015-09-13 22:00,3450,3202
2015-09-13 23:00,3450,3450
2015-09-14 0:00,3450,3450
2015-09-14 1:00,3450,3227
2015-09-14 2:00,3450,3450
2015-09-14 3:00,3450,3450
2015-09-14 4:00,3450,3396
2015-09-14 5:00,3450,3383
2015-09-14 6:00,3450,3047
2015-09-14 7:00,3450,3450
2015-09-14 8:00,3450,3450
2015-09-14 9:00,3450,2543
2015-09-14 10:00,3450,3279
2015-09-14 11:00,3450,3307
2015-09-14 12:00,3450,2901
2015-09-14 13:00,3450,3436
2015-09-14 14:00,3450,3450
2015-09-14 15:00,3450,3450
2015-09-14 16:00,3450,3207
2015-09-14 17:00,3450,3450
2015-09-14 18:00,3450,3450
2015-09-14 19:00,3450,3450
2015-09-14 20:00,3450,3414
2015-09-14 21:00,3450,3450
2015-09-14 22:00,3450,3450
2015-09-14 23:00,3450,3450
2015-09-15 0:00,3450,3450
2015-09-15 1:00,3450,3450
2015-09-15 2:00,3450,3348
2015-09-15 3:00,3450,3318
2015-09-15 4:00,3450,3316
2015-09-15 5:00,3450,3450
2015-09-15 6:00,3450,3450
2015-09-15 7:00,3450,3224
2015-09-15 8:00,3450,2935
2015-09-15 9:00,3450,3413
2015-09-15 10:00,3450,3450
2015-09-15 11:00,3450,3450
2015-09-15 12:00,3450,2783
2015-09-15 13:00,3450,3450
2015-09-15 14:00,3450,2573
2015-09-15 15:00,3450,3450
2015-09-15 16:00,3450,3450
2015-09-15 17:00,3450,3450
2015-09-15 18:00,3450,3347
2015-09-15 19:00,3450,2880
2015-09-15 20:00,3450,3450
2015-09-15 21:00,3450,3450
2015-09-15 22:00,3450,3450
2015-09-15 23:00,3450,3233
2015-09-16 0:00,3450,2885
2015-09-16 1:00,3450,3231
2015-09-16 2:00,3450,3418
2015-09-16 3:00,3450,3204
2015-09-16 4:00,3450,3450
2015-09-16 5:00,3450,3450
2015-09-16 6:00,3450,3329
2015-09-16 7:00,3450,2950
2015-09-16 8:00,3450,3415
2015-09-16 9:00,3450,3450
2015-09-16 10:00,3450,2903
2015-09-16 11:00,3450,3406
2015-09-16 12:00,3450,3450
2015-09-16 13:00,3450,3184
2015-09-16 14:00,3450,3311
2015-09-16 15:00,3450,3450
2015-09-16 16:00,3450,3341
2015-09-16 17:00,3450,3450
2015-09-16 18:00,3450,3450
2015-09-16 19:00,3450,3450
2015-09-16 20:00,3450,3356
2015-09-16 21:00,3450,3450
2015-09-16 22:00,3450,3042
2015-09-16 23:00,3450,3450
2015-09-17 0:00,3450,3450
2015-09-17 1:00,3450,3296
2015-09-17 2:00,3450,2963
2015-09-17 3:00,3450,3436
2015-09-17 4:00,3450,3382
2015-09-17 5:00,3450,2708
2015-09-17 6:00,3450,3450
2015-09-17 7:00,3450,3450
2015-09-17 8:00,3450,3188
2015-09-17 9:00,3450,3450
2015-09-17 10:00,3450,3450
2015-09-17 11:00,3450,3450
2015-09-17 12:00,3450,3398
2015-09-17 13:00,3450,3450
2015-09-17 14:00,3450,2862
2015-09-17 15:00,3450,3205
2015-09-17 16:00,3450,3033
2015-09-17 17:00,3450,3450
2015-09-17 18:00,3450,3450
2015-09-17 19:00,3450,3450
2015-09-17 20:00,3450,3450
2015-09-17 21:00,3450,3450
2015-09-17 22:00,3450,3450
2015-09-17 23:00,3450,3450
2015-09-18 0:00,3450,2934
2015-09-18 1:00,3450,3450
2015-09-18 2:00,3450,3450
2015-09-18 3:00,3450,3316
2015-09-18 4:00,3450,3450
2015-09-18 5:00,3450,3450
2015-09-18 6:00,3450,3373
2015-09-18 7:00,3450,3450
2015-09-18 8:00,3450,3450
2015-09-18 9:00,3450,2893
2015-09-18 10:00,3450,3372
2015-09-18 11:00,3450,3124
2015-09-18 12:00,3450,3450
2015-09-18 13:00,3450,3284
2015-09-18 14:00,3450,3450
2015-09-18 15:00,3450,3270
2015-09-18 16:00,3450,3299
2015-09-18 17:00,3450,3450
2015-09-18 18:00,3450,3450
2015-09-18 19:00,3450,3450
2015-09-18 20:00,3450,3450
2015-09-18 21:00,3450,3450
2015-09-18 22:00,3450,3355
2015-09-18 23:00,3450,3450
2015-09-19 0:00,3450,3300
2015-09-19 1:00,3450,3036
2015-09-19 2:00,3450,3170
2015-09-19 3:00,3450,3450
2015-09-19 4:00,3450,3450
2015-09-19 5:00,3450,3450
2015-09-19 6:00,3450,3348
2015-09-19 7:00,3450,3374
2015-09-19 8:00,3450,2975
2015-09-19 9:00,3450,3450
2015-09-19 10:00,3450,3233
2015-09-19 11:00,3450,3165
2015-09-19 12:00,3450,3450
2015-09-19 13:00,3450,3450
2015-09-19 14:00,3450,3450
2015-09-19 15:00,3450,3450
2015-09-19 16:00,3450,3153
2015-09-19 17:00,3450,3219
2015-09-19 18:00,3450,3450
2015-09-19 19:00,3450,3450
2015-09-19 20:00,3450,3265
2015-09-19 21:00,3450,3450
2015-09-19 22:00,3450,3197
2015-09-19 23:00,3450,3450
2015-09-20 0:00,3450,3450
2015-09-20 1:00,3450,3151
2015-09-20 2:00,3450,3450
2015-09-20 3:00,3450,3450
2015-09-20 4:00,3450,2997
2015-09-20 5:00,3450,3450
2015-09-20 6:00,3450,3450
2015-09-20 7:00,3450,3450
2015-09-20 8:00,3450,3392
2015-09-20 9:00,3450,3450
2015-09-20 10:00,3450,3238
2015-09-20 11:00,3450,3450
2015-09-20 12:00,3450,3450
2015-09-20 13:00,3450,3242
2015-09-20 14:00,3450,3450
2015-09-20 15:00,3450,3353
2015-09-20 16:00,3450,2550
2015-09-20 17:00,3450,2914
2015-09-20 18:00,3450,3450
2015-09-20 19:00,3450,3280
2015-09-20 20:00,3450,3450
2015-09-20 21:00,3450,3450
2015-09-20 22:00,3450,3139
2015-09-20 23:00,3450,3450
2015-09-21 0:00,3450,3367
2015-09-21 1:00,3450,3450
2015-09-21 2:00,3450,3394
2015-09-21 3:00,3450,3450
2015-09-21 4:00,3450,3450
2015-09-21 5:00,3450,3197
2015-09-21 6:00,3450,3314
2015-09-21 7:00,3450,3175
2015-09-21 8:00,3450,3027
2015-09-21 9:00,3450,3450
2015-09-21 10:00,3450,3209
2015-09-21 11:00,3450,3443
2015-09-21 12:00,3450,3450
2015-09-21 13:00,3450,3319
2015-09-21 14:00,3450,3361
2015-09-21 15:00,3450,3019
2015-09-21 16:00,3450,3450
2015-09-21 17:00,3450,3365
2015-09-21 18:00,3450,3348
2015-09-21 19:00,3450,3450
2015-09-21 20:00,3450,3376
2015-09-21 21:00,3450,3060
2015-09-21 22:00,3450,3450
2015-09-21 23:00,3450,2844
2015-09-22 0:00,3450,3450
2015-09-22 1:00,3450,2843
2015-09-22 2:00,3450,3450
2015-09-22 3:00,3450,3333
2015-09-22 4:00,3450,2801
2015-09-22 5:00,3450,3450
2015-09-22 6:00,3450,2917
2015-09-22 7:00,3450,3362
2015-09-22 8:00,3450,3093
2015-09-22 9:00,3450,3160
2015-09-22 10:00,3450,3450
2015-09-22 11:00,3450,3450
2015-09-22 12:00,3450,3450
2015-09-22 13:00,3450,3006
2015-09-22 14:00,3450,3341
2015-09-22 15:00,3450,3078
2015-09-22 16:00,3450,3354
2015-09-22 17:00,3450,3360
2015-09-22 18:00,3450,2709
2015-09-22 19:00,3450,3450
2015-09-22 20:00,3450,3450
2015-09-22 21:00,3450,3078
2015-09-22 22:00,3450,2972
2015-09-22 23:00,3450,3077
2015-09-23 0:00,3450,3434
2015-09-23 1:00,3450,3450
2015-09-23 2:00,3450,2931
2015-09-23 3:00,3450,3183
2015-09-23 4:00,3450,3262
2015-09-23 5:00,3450,3450
2015-09-23 6:00,3450,3450
2015-09-23 7:00,3450,3324
2015-09-23 8:00,3450,3450
2015-09-23 9:00,3450,3375
2015-09-23 10:00,3450,3374
2015-09-23 11:00,3450,3018
2015-09-23 12:00,3450,3129
2015-09-23 13:00,3450,3450
2015-09-23 14:00,3450,3370
2015-09-23 15:00,3450,3450
2015-09-23 16:00,3450,3450
2015-09-23 17:00,3450,3450
2015-09-23 18:00,3450,3331
2015-09-23 19:00,3450,3450
2015-09-23 20:00,3450,3450
2015-09-23 21:00,3450,3086
2015-09-23 22:00,3450,3450
2015-09-23 23:00,3450,3450
2015-09-24 0:00,3450,3450
2015-09-24 1:00,3450,3450
2015-09-24 2:00,3450,2855
2015-09-24 3:00,3450,3450
2015-09-24 4:00,3450,3450
2015-09-24 5:00,3450,3450
2015-09-24 6:00,3450,3450
2015-09-24 7:00,3450,3377
2015-09-24 8:00,3450,3046
2015-09-24 9:00,3450,3450
2015-09-24 10:00,3450,3450
2015-09-24 11:00,3450,3450
2015-09-24 12:00,3450,3450
2015-09-24 13:00,3450,3450
2015-09-24 14:00,3450,3029
2015-09-24 15:00,3450,3356
2015-09-24 16:00,3450,3419
2015-09-24 17:00,3450,3450
2015-09-24 18:00,3450,3450
2015-09-24 19:00,3450,3437
2015-09-24 20:00,3450,3253
2015-09-24 21:00,3450,3450
2015-09-24 22:00,3450,3450
2015-09-24 23:00,3450,3450
2015-09-25 0:00,3450,3450
2015-09-25 1:00,3450,3450
2015-09-25 2:00,3450,3450
2015-09-25 3:00,3450,3450
2015-09-25 4:00,3450,3450
2015-09-25 5:00,3450,3173
2015-09-25 6:00,3450,3215
2015-09-25 7:00,3450,3231
2015-09-25 8:00,3450,3450
2015-09-25 9:00,3450,3450
2015-09-25 10:00,3450,3450
2015-09-25 11:00,3450,3379
2015-09-25 12:00,3450,3450
2015-09-25 13:00,3450,3450
2015-09-25 14:00,3450,3260
2015-09-25 15:00,3450,3450
2015-09-25 16:00,3450,3323
2015-09-25 17:00,3450,3114
2015-09-25 18:00,3450,2710
2015-09-25 19:00,3450,3345
2015-09-25 20:00,3450,3418
2015-09-25 21:00,3450,2952
2015-09-25 22:00,3450,3450
2015-09-25 23:00,3450,2959
2015-09-26 0:00,3450,3166
2015-09-26 1:00,3450,3121
2015-09-26 2:00,3450,3026
2015-09-26 3:00,3450,3353
2015-09-26 4:00,3450,3034
2015-09-26 5:00,3450,3450
2015-09-26 6:00,3450,3450
2015-09-26 7:00,3450,3357
2015-09-26 8:00,3450,3450
2015-09-26 9:00,3450,3348
2015-09-26 10:00,3450,3172
2015-09-26 11:00,3450,2577
2015-09-26 12:00,3450,3450
2015-09-26 13:00,3450,2876
2015-09-26 14:00,3450,3450
2015-09-26 15:00,3450,3334
2015-09-26 16:00,3450,3232
2015-09-26 17:00,3450,3450
2015-09-26 18:00,3450,3450
2015-09-26 19:00,3450,3450
2015-09-26 20:00,3450,2936
2015-09-26 21:00,3450,3450
2015-09-26 22:00,3450,3450
2015-09-26 23:00,3450,3122
2015-09-27 0:00,3450,3450
2015-09-27 1:00,3450,3450
2015-09-27 2:00,3450,2965
2015-09-27 3:00,3450,2913
2015-09-27 4:00,3450,3019
2015-09-27 5:00,3450,2946
2015-09-27 6:00,3450,3411
2015-09-27 7:00,3450,3450
2015-09-27 8:00,3450,3450
2015-09-27 9:00,3450,2831
2015-09-27 10:00,3450,3130
2015-09-27 11:00,3450,3450
2015-09-27 12:00,3450,3182
2015-09-27 13:00,3450,3450
2015-09-27 14:00,3450,3450
2015-09-27 15:00,3450,3266
2015-09-27 16:00,3450,3450
2015-09-27 17:00,3450,3450
2015-09-27 18:00,3450,3450
2015-09-27 19:00,3450,3450
2015-09-27 20:00,3450,2917
2015-09-27 21:00,3450,3450
2015-09-27 22:00,3450,3450
2015-09-27 23:00,3450,3450
2015-09-28 0:00,3450,3249
2015-09-28 1:00,3450,3450
2015-09-28 2:00,3450,3450
2015-09-28 3:00,3450,3047
2015-09-28 4:00,3450,3387
2015-09-28 5:00,3450,3450
2015-09-28 6:00,3450,3443
2015-09-28 7:00,3450,3349
2015-09-28 8:00,3450,3222
2015-09-28 9:00,3450,3450
2015-09-28 10:00,3450,3039
2015-09-28 11:00,3450,3450
2015-09-28 12:00,3450,3361
2015-09-28 13:00,3450,3164
2015-09-28 14:00,3450,3271
2015-09-28 15:00,3450,3450
2015-09-28 16:00,3450,3159
2015-09-28 17:00,3450,3450
2015-09-28 18:00,3450,3450
2015-09-28 19:00,3450,3310
2015-09-28 20:00,3450,3450
2015-09-28 21:00,3450,3156
2015-09-28 22:00,3450,3450
2015-09-28 23:00,3450,3086
2015-09-29 0:00,3450,3450
2015-09-29 1:00,3450,3450
2015-09-29 2:00,3450,3169
2015-09-29 3:00,3450,2787
2015-09-29 4:00,3450,3365
2015-09-29 5:00,3450,3387
2015-09-29 6:00,3450,3450
2015-09-29 7:00,3450,3276
2015-09-29 8:00,3450,3238
2015-09-29 9:00,3450,3450
2015-09-29 10:00,3450,3097
2015-09-29 11:00,3450,2954
2015-09-29 12:00,3450,3061
2015-09-29 13:00,3450,3353
2015-09-29 14:00,3450,3450
2015-09-29 15:00,3450,3351
2015-09-29 16:00,3450,3362
2015-09-29 17:00,3450,2947
2015-09-29 18:00,3450,3450
2015-09-29 19:00,3450,3450
2015-09-29 20:00,3450,3450
2015-09-29 21:00,3450,3450
2015-09-29 22:00,3450,3450
2015-09-29 23:00,3450,3450
2015-09-30 0:00,3450,3450
2015-09-30 1:00,3450,3383
2015-09-30 2:00,3450,3450
2015-09-30 3:00,3450,3450
2015-09-30 4:00,3450,3338
2015-09-30 5:00,3450,3450
2015-09-30 6:00,3450,2968
2015-09-30 7:00,3450,3450
2015-09-30 8:00,3450,3450
2015-09-30 9:00,3450,3450
2015-09-30 10:00,3450,3450
2015-09-30 11:00,3450,3440
2015-09-30 12:00,3450,3401
2015-09-30 13:00,3450,3371
2015-09-30 14:00,3450,3450
2015-09-30 15:00,3450,3065
2015-09-30 16:00,3450,3450
2015-09-30 17:00,3450,3450
2015-09-30 18:00,3450,3011
2015-09-30 19:00,3450,3131
2015-09-30 20:00,3450,3450
2015-09-30 21:00,3450,3450
2015-09-30 22:00,3450,2730
2015-09-30 23:00,3450,3450
